impid,aid,imp_name
3268,Kenan Thompson,Tony Okungbowa
3449,Taran Killam,Henry Winkler
3448,Kate McKinnon,Angela Lansbury
3446,Bobby Moynihan,Jason Alexander (II)
3447,Jay Pharoah,Jaleel White
3450,Kenan Thompson,Steve McQueen
3441,Beck Bennett,Howie Long
3442,Bobby Moynihan,Jimmy Johnson
3237,Jay Pharoah,Michael Strahan
3443,Kenan Thompson,Ben Vereen
2739,Fred Armisen,David Paterson
3440,Taran Killam,Scott Hamilton
3439,Cecily Strong,Tara Lipinski
3022,Taran Killam,Brad Pitt
3425,Drake,Alex Rodriguez
3185,Taran Killam,Piers Morgan
3428,Vanessa Bayer,Sandi Graham
3427,Jay Pharoah,Dennis Graham
3429,Drake,Jay-Z
3430,Drake,Lil Wayne
3431,Beck Bennett,"Don Herbert , Mr. Wizard"
3433,Kyle Mooney,Joey Lawrence
3434,Nasim Pedrad,Jenna Von Oÿ
2543,Kenan Thompson,Flavor Flav
3352,Kenan Thompson,Sway
3436,Drake,Katt Williams
3437,Noel Wells,Nancy Grace
3438,Vanessa Bayer,Jacqueline Bisset
3186,Nasim Pedrad,Arianna Huffington
3407,Jimmy Fallon,Jim Parsons
3408,Justin Timberlake,Jimmy Fallon
3140,Taran Killam,Ashton Kutcher
3339,John Milhiser,Jon Cryer
3409,Jay Pharoah,Ice-T
3410,Noel Wells,Alyson Hannigan
2159,Jimmy Fallon,Barry Gibb
2161,Justin Timberlake,Robin Gibb
3412,Kate McKinnon,Billie Jean King
3015,Vanessa Bayer,Kourtney Kardashian
3379,Kate McKinnon,Kris Jenner
3378,Bobby Moynihan,Rob Kardashian
3377,Cecily Strong,Khloé Kardashian
3380,Noel Wells,Kendall Jenner
3413,Jimmy Fallon,Alan Rickman
3414,Jimmy Fallon,Harry Styles
3415,Jimmy Fallon,Michael Bublé
3416,Jimmy Fallon,Pitbull
3421,John Milhiser,Billie Joe Armstrong
3423,Kyle Mooney,Axl Rose
3417,Bobby Moynihan,Andrea Bocelli
3420,Jay Pharoah,DMX
3419,Cecily Strong,Alanis Morissette
3424,Noel Wells,Zooey Deschanel
3418,Brooks Wheelan,Slash
3390,Kenan Thompson,Thamsanqa Jantjie
3391,John Goodman,Duane Chapman
3392,Caleb Followill,Willie Robertson
3393,Jared Followill,Phil Robertson
3394,Matthew Followill,Si Robertson
3395,Nathan Followill,Jase Robertson
3406,Taran Killam,Bret Michaels
3402,Kate McKinnon,Angela Raiola
3401,John Milhiser,Verne Troyer
3404,Kyle Mooney,Criss Angel
3397,Bobby Moynihan,Corey Harrison
3398,Bobby Moynihan,Richard Harrison
3396,Bobby Moynihan,Austin Russell
2806,Bobby Moynihan,Guy Fieri
3399,Bobby Moynihan,Rick Harrison
3403,Kenan Thompson,Kimbo Slice
3400,Brooks Wheelan,Kid Rock
2694,Fred Armisen,Lawrence Welk
3387,Beck Bennett,George Zimmer
3388,Kate McKinnon,Samantha Scheibe
3389,Vanessa Bayer,Jessica McClure
3376,Kate McKinnon,Lara Logan
3375,Bobby Moynihan,Rob Ford
3386,Taran Killam,Adam Duritz
3383,Kate McKinnon,Susan Boyle
2770,Bobby Moynihan,Nathan Lane
3050,Jay Pharoah,Lil Wayne
3382,Cecily Strong,Lana Del Rey
3385,Noel Wells,Britney Spears
3364,Kerry Washington,Michelle Obama
3365,Kerry Washington,Oprah Winfrey
3366,Beck Bennett,Matthew McConaughey
3372,Taran Killam,Jay Carney
3369,John Milhiser,Matthew McConaughey
3370,Kyle Mooney,Matthew McConaughey
3367,Bobby Moynihan,Matthew McConaughey
3371,Mike O'Brien,Matthew McConaughey
3368,Brooks Wheelan,Matthew McConaughey
3373,Taran Killam,Thomas Roberts
3357,Kate McKinnon,Kathleen Sebelius
3358,Edward Norton,Owen Wilson
3361,Kyle Mooney,Jason Schwartzman
3362,Mike O'Brien,Adrien Brody
3360,Jay Pharoah,Danny Glover
3359,Cecily Strong,Anjelica Huston
3363,Noel Wells,Gwyneth Paltrow
3353,Bruce Willis,Michael Kors
3354,Vanessa Bayer,Lady Gaga
3210,Kate McKinnon,Penelope Cruz
3355,Kenan Thompson,Barry Black
3356,Beck Bennett,Vin Diesel
3332,Taran Killam,Robin Thicke
3333,Miley Cyrus,Scarlett Johansson
3346,Vanessa Bayer,Mary-Louise Parker
3335,Beck Bennett,Philip Seymour Hoffman
3334,Aidy Bryant,Rebel Wilson
